HaulID,Survey_Acronym,SpeciesSciName,Aphia_Code,FishLength_cm,Number,DensAbund_N_Sqkm,DensBiom_kg_Sqkm
GNSFraOT4/GWD/1988/12,GNSFraOT4,Sardina pilchardus,126421,27,1,69.63788301,23.03298468
GNSFraOT4/GWD/1988/12,GNSFraOT4,Sardina pilchardus,126421,9,1,69.63788301,0.818271981
GNSFraOT4/GWD/1988/12,GNSFraOT4,Sardina pilchardus,126421,23,1,69.63788301,14.06043146
GNSFraOT4/GWD/1988/13,GNSFraOT4,Sardina pilchardus,126421,27,1,23.88915432,7.901425227
GNSFraOT4/GWD/1988/19,GNSFraOT4,Sardina pilchardus,126421,27,1,31.36762861,10.37495797
GNSFraOT4/GWD/1988/42,GNSFraOT4,Sardina pilchardus,126421,23,2,118.4132623,23.90856077
GNSFraOT4/GWD/1988/42,GNSFraOT4,Sardina pilchardus,126421,25,3,177.6198934,46.34765566
GNSFraOT4/GWD/1988/42,GNSFraOT4,Sardina pilchardus,126421,26,2,118.4132623,34.86521842
GNSFraOT4/GWD/1988/42,GNSFraOT4,Sardina pilchardus,126421,15,5,296.0331557,16.18012554
GNSFraOT4/GWD/1988/42,GNSFraOT4,Sardina pilchardus,126421,16,3,177.6198934,11.81384286
GNSFraOT4/GWD/1988/42,GNSFraOT4,Sardina pilchardus,126421,12,3,177.6198934,4.94070639
GNSFraOT4/GWD/1988/42,GNSFraOT4,Sardina pilchardus,126421,17,1,59.20663114,4.737070228
GNSFraOT4/GWD/1988/42,GNSFraOT4,Sardina pilchardus,126421,11,7,414.446418,8.872777871
GNSFraOT4/GWD/1988/42,GNSFraOT4,Sardina pilchardus,126421,10,4,236.8265246,3.81034887
GNSFraOT4/GWD/1988/43,GNSFraOT4,Sardina pilchardus,126421,25,5,180.8972504,47.20284033
GNSFraOT4/GWD/1988/43,GNSFraOT4,Sardina pilchardus,126421,16,1,36.17945007,2.406365243
GNSFraOT4/GWD/1988/43,GNSFraOT4,Sardina pilchardus,126421,27,11,397.9739508,131.6313408
GNSFraOT4/GWD/1988/43,GNSFraOT4,Sardina pilchardus,126421,24,1,36.17945007,8.326135344
GNSFraOT4/GWD/1988/43,GNSFraOT4,Sardina pilchardus,126421,26,10,361.7945007,106.525604
GNSFraOT4/GWD/1988/43,GNSFraOT4,Sardina pilchardus,126421,28,4,144.7178003,53.54695916
GNSFraOT4/GWD/1988/44,GNSFraOT4,Sardina pilchardus,126421,25,1,58.99705015,15.39453105
GNSFraOT4/GWD/1988/44,GNSFraOT4,Sardina pilchardus,126421,27,1,58.99705015,19.51349027
GNSFraOT4/GWD/1988/44,GNSFraOT4,Sardina pilchardus,126421,26,2,117.9941003,34.74180172
GNSFraOT4/GWD/1988/46,GNSFraOT4,Sardina pilchardus,126421,26,1,63.45177665,18.68253614
GNSFraOT4/GWD/1988/47,GNSFraOT4,Sardina pilchardus,126421,26,12,649.7022198,191.2962228
GNSFraOT4/GWD/1988/47,GNSFraOT4,Sardina pilchardus,126421,29,1,54.14185165,22.32411416
GNSFraOT4/GWD/1988/47,GNSFraOT4,Sardina pilchardus,126421,25,12,649.7022198,169.5315439
GNSFraOT4/GWD/1988/47,GNSFraOT4,Sardina pilchardus,126421,27,3,162.425555,53.72284678
GNSFraOT4/GWD/1988/47,GNSFraOT4,Sardina pilchardus,126421,24,4,216.5674066,49.83960604
GNSFraOT4/GWD/1988/47,GNSFraOT4,Sardina pilchardus,126421,28,1,54.14185165,20.0329988
GNSFraOT4/GWD/1988/49,GNSFraOT4,Sardina pilchardus,126421,25,2,101.8848701,26.58556305
GNSFraOT4/GWD/1988/53,GNSFraOT4,Sardina pilchardus,126421,11,4,158.0403003,3.383444562
GNSFraOT4/GWD/1988/53,GNSFraOT4,Sardina pilchardus,126421,24,1,39.51007507,9.092626666
GNSFraOT4/GWD/1988/53,GNSFraOT4,Sardina pilchardus,126421,10,4,158.0403003,2.542741699
GNSFraOT4/GWD/1988/53,GNSFraOT4,Sardina pilchardus,126421,9,3,118.5302252,1.392775858
GNSFraOT4/GWD/1988/53,GNSFraOT4,Sardina pilchardus,126421,26,3,118.5302252,34.8996566
GNSFraOT4/GWD/1988/54,GNSFraOT4,Sardina pilchardus,126421,26,2,66.42311524,19.55740748
GNSFraOT4/GWD/1988/54,GNSFraOT4,Sardina pilchardus,126421,15,1,33.21155762,1.815226306
GNSFraOT4/GWD/1988/54,GNSFraOT4,Sardina pilchardus,126421,11,29,963.135171,20.61951572
GNSFraOT4/GWD/1988/54,GNSFraOT4,Sardina pilchardus,126421,9,4,132.8462305,1.560994441
GNSFraOT4/GWD/1988/54,GNSFraOT4,Sardina pilchardus,126421,27,1,33.21155762,10.98484424
GNSFraOT4/GWD/1988/54,GNSFraOT4,Sardina pilchardus,126421,10,30,996.3467287,16.0304199
GNSFraOT4/GWD/1988/55,GNSFraOT4,Sardina pilchardus,126421,26,2,181.9836215,53.58266962
GNSFraOT4/GWD/1988/56,GNSFraOT4,Sardina pilchardus,126421,9,80,5805.515239,68.21704298
GNSFraOT4/GWD/1988/56,GNSFraOT4,Sardina pilchardus,126421,8,426,30914.36865,256.1744475
GNSFraOT4/GWD/1988/56,GNSFraOT4,Sardina pilchardus,126421,6,53,3846.153846,13.72696707
GNSFraOT4/GWD/1988/56,GNSFraOT4,Sardina pilchardus,126421,26,1,72.56894049,21.36696441
GNSFraOT4/GWD/1988/56,GNSFraOT4,Sardina pilchardus,126421,7,399,28955.00726,161.9630868
GNSFraOT4/GWD/1988/56,GNSFraOT4,Sardina pilchardus,126421,10,26,1886.792453,30.35697755
GNSFraOT4/GWD/1989/12,GNSFraOT4,Sardina pilchardus,126421,12,4,121.691512,3.384992635
GNSFraOT4/GWD/1989/12,GNSFraOT4,Sardina pilchardus,126421,11,2,60.84575601,1.302631303
GNSFraOT4/GWD/1989/12,GNSFraOT4,Sardina pilchardus,126421,9,124,3772.436873,44.32758811
GNSFraOT4/GWD/1989/12,GNSFraOT4,Sardina pilchardus,126421,10,2,60.84575601,0.978959422
GNSFraOT4/GWD/1989/14,GNSFraOT4,Sardina pilchardus,126421,9,6,287.9078695,3.383028499
GNSFraOT4/GWD/1989/14,GNSFraOT4,Sardina pilchardus,126421,8,9,431.8618042,3.578658208
GNSFraOT4/GWD/1989/14,GNSFraOT4,Sardina pilchardus,126421,10,1,47.98464491,0.772034458
GNSFraOT4/GWD/1989/14,GNSFraOT4,Sardina pilchardus,126421,27,2,95.96928983,31.74219386
GNSFraOT4/GWD/1989/14,GNSFraOT4,Sardina pilchardus,126421,7,3,143.9539347,0.80522251
GNSFraOT4/GWD/1989/15,GNSFraOT4,Sardina pilchardus,126421,8,1342,74020.95974,613.3807447
GNSFraOT4/GWD/1989/15,GNSFraOT4,Sardina pilchardus,126421,10,18,992.8295643,15.97383154
GNSFraOT4/GWD/1989/15,GNSFraOT4,Sardina pilchardus,126421,9,662,36514.06509,429.0543465
GNSFraOT4/GWD/1989/15,GNSFraOT4,Sardina pilchardus,126421,7,201,11086.5968,62.01412501
GNSFraOT4/GWD/1989/16,GNSFraOT4,Sardina pilchardus,126421,10,13,823.8276299,13.25472594
GNSFraOT4/GWD/1989/16,GNSFraOT4,Sardina pilchardus,126421,11,4,253.4854246,5.426804934
GNSFraOT4/GWD/1989/16,GNSFraOT4,Sardina pilchardus,126421,9,21,1330.798479,15.63739536
GNSFraOT4/GWD/1989/16,GNSFraOT4,Sardina pilchardus,126421,8,3,190.1140684,1.575395797
