Year,Month,Decimal Year,Figure Reference,Sea_Area,Monthly_Average_Sea_Surface_Temperature_degrees_C
1997,1,1997,Figure 4.12,Faroe Shetland Channel,7.76
1997,2,1997.08,Figure 4.12,Faroe Shetland Channel,7.46
1997,3,1997.17,Figure 4.12,Faroe Shetland Channel,7.27
1997,4,1997.25,Figure 4.12,Faroe Shetland Channel,7.46
1997,5,1997.33,Figure 4.12,Faroe Shetland Channel,8.18
1997,6,1997.42,Figure 4.12,Faroe Shetland Channel,9.56
1997,7,1997.5,Figure 4.12,Faroe Shetland Channel,11.54
1997,8,1997.58,Figure 4.12,Faroe Shetland Channel,12.69
1997,9,1997.67,Figure 4.12,Faroe Shetland Channel,11.39
1997,10,1997.75,Figure 4.12,Faroe Shetland Channel,9.91
1997,11,1997.83,Figure 4.12,Faroe Shetland Channel,9.06
1997,12,1997.92,Figure 4.12,Faroe Shetland Channel,8.67
1998,1,1998,Figure 4.12,Faroe Shetland Channel,8.53
1998,2,1998.08,Figure 4.12,Faroe Shetland Channel,8.14
1998,3,1998.17,Figure 4.12,Faroe Shetland Channel,7.9
1998,4,1998.25,Figure 4.12,Faroe Shetland Channel,8.24
1998,5,1998.33,Figure 4.12,Faroe Shetland Channel,9.13
1998,6,1998.42,Figure 4.12,Faroe Shetland Channel,9.77
1998,7,1998.5,Figure 4.12,Faroe Shetland Channel,10.99
1998,8,1998.58,Figure 4.12,Faroe Shetland Channel,11.49
1998,9,1998.67,Figure 4.12,Faroe Shetland Channel,11.44
1998,10,1998.75,Figure 4.12,Faroe Shetland Channel,10.01
1998,11,1998.83,Figure 4.12,Faroe Shetland Channel,8.8
1998,12,1998.92,Figure 4.12,Faroe Shetland Channel,8.34
1999,1,1999,Figure 4.12,Faroe Shetland Channel,7.96
1999,2,1999.08,Figure 4.12,Faroe Shetland Channel,7.57
1999,3,1999.17,Figure 4.12,Faroe Shetland Channel,7.31
1999,4,1999.25,Figure 4.12,Faroe Shetland Channel,7.7
1999,5,1999.33,Figure 4.12,Faroe Shetland Channel,8.61
1999,6,1999.42,Figure 4.12,Faroe Shetland Channel,9.61
1999,7,1999.5,Figure 4.12,Faroe Shetland Channel,11.18
1999,8,1999.58,Figure 4.12,Faroe Shetland Channel,12.03
1999,9,1999.67,Figure 4.12,Faroe Shetland Channel,11.25
1999,10,1999.75,Figure 4.12,Faroe Shetland Channel,10.1
1999,11,1999.83,Figure 4.12,Faroe Shetland Channel,9.23
1999,12,1999.92,Figure 4.12,Faroe Shetland Channel,8.03
2000,1,2000,Figure 4.12,Faroe Shetland Channel,7.33
2000,2,2000.08,Figure 4.12,Faroe Shetland Channel,7.25
2000,3,2000.17,Figure 4.12,Faroe Shetland Channel,7.35
2000,4,2000.25,Figure 4.12,Faroe Shetland Channel,7.55
