ring_no,scheme,species_name,age,visit_date,capture_time,location_name,gridRef,wing_length,weight,time_w
2768019,NOS,Storm Petrel,4,14/08/2020,02:30,"STOPE-NBE (Twinyess, North Ronaldsay)",HY7452,127,26.3,02:30
2757109,GBT,Storm Petrel,4,14/08/2020,02:20,"STOPE-NBE (Twinyess, North Ronaldsay)",HY7452,123,26.9,02:20
2759084,GBT,Storm Petrel,4,14/08/2020,02:00,"STOPE-NBE (Twinyess, North Ronaldsay)",HY7452,122,23.6,02:00
2768526,GBT,Storm Petrel,4,14/08/2020,01:30,"STOPE-NBE (Twinyess, North Ronaldsay)",HY7452,121,23.7,01:30
2759022,GBT,Storm Petrel,4,14/08/2020,00:30,"STOPE-NBE (Twinyess, North Ronaldsay)",HY7452,122,22.7,00:30
2762505,GBT,Storm Petrel,4,21/07/2020,01:50,"STOPE-NBE (Twinyess, North Ronaldsay)",HY7452,124,27.4,01:50
9AZ5314,DKC,Storm Petrel,4,21/07/2020,01:15,"STOPE-NBE (Twinyess, North Ronaldsay)",HY7452,120,22.9,01:15
2749959,GBT,Storm Petrel,4,21/07/2020,01:00,"STOPE-NBE (Twinyess, North Ronaldsay)",HY7452,123,27.6,01:00
2749012,GBT,Storm Petrel,4,10/07/2020,02:00,"STOPE-NBE (Twinyess, North Ronaldsay)",HY7452,124,23.5,02:00
2645939,GBT,Storm Petrel,4,10/07/2020,01:10,"STOPE-NBE (Twinyess, North Ronaldsay)",HY7452,120,27.3,01:10
2768701,GBT,Storm Petrel,4,14/08/2020,00:30,"STOPE-NBE (Twinyess, North Ronaldsay)",HY7452,125,26.1,00:30
2752356,GBT,Storm Petrel,4,14/08/2020,00:20,"STOPE-NBE (Twinyess, North Ronaldsay)",HY7452,126,24.9,00:20
2759150,GBT,Storm Petrel,4,14/08/2020,00:50,TWI-NRL (North Ronaldsay),HY7554,123,25.5,00:50
2759149,GBT,Storm Petrel,4,14/08/2020,00:50,TWI-NRL (North Ronaldsay),HY7554,122,26.2,00:50
